Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga;eleicao
13072;Parda;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;AIUABA;SEBASTIÃO ARRAES OLIVEIRA PAIVA;55;Servidor Público Municipal;PSD;Não Eleito;9443;4268;2026-02-28 19:30:47;2024
13714;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;CATARINA;STELA MACLA FEITOSA DE MATOS RODRIGUES;55;Administrador;PSD;Não Eleito;8718;3722;2026-02-28 19:30:47;2024
13307;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;OCARA;LEONILDO PEIXOTO FARIAS;40;Médico;PSB;Eleito;22746;12381;2026-02-28 19:30:47;2024
15733;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;UBAJARA;ADÉCIO MUNIZ PAIVA FILHO;40;Advogado;PSB;Eleito;22180;10835;2026-02-28 19:30:47;2024
14753;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;MORADA NOVA;JOSE JEOVANE MAIA BARROS;30;Produtor Agropecuário;NOVO;Não Eleito;48016;254;2026-02-28 19:30:47;2024
15474;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SÃO BENEDITO;SAUL LIMA MACIEL;13;Advogado;PT;Eleito;26608;17708;2026-02-28 19:30:47;2024
15113;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;PEDRA BRANCA;MARIA IVONETH BRAGA DE SOUSA;13;Professor de Ensino Superior;PT;Eleito;26824;14923;2026-02-28 19:30:47;2024
14214;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;IRACEMA;CELSO GOMES DA SILVA NETO;13;Prefeito;PT;Eleito;10362;5279;2026-02-28 19:30:47;2024
14150;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;IPAUMIRIM;WILSON ALVES DE FREITAS;55;Empresário;PSD;Eleito;7916;6117;2026-02-28 19:30:47;2024
13897;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;EVANDRO SA BARRETO LEITAO;13;Deputado;PT;Segundo turno;1397526;480174;2026-02-28 19:30:47;2024
