Ano de eleição;Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Turno;Zona;Votos válidos;Votos nominais;Data de carga
2024;13951;Preta;Casado(a);35 a 39 anos;Feminino;Superior completo;GRANJA;MARIA DO LIVRAMENTO OLIVEIRA DIAS;11;Fisioterapeuta e Terapeuta Ocupacional;PP;NORDESTE;Não Eleito;1;25;33805;7132;2026-02-28 19:30:47
2024;15059;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;PARACURU;WEMBLEY GOMES COSTA;40;Pedagogo;PSB;NORDESTE;Não Eleito;1;109;27619;10793;2026-02-28 19:30:47
2024;13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;NORDESTE;Não Eleito;1;95;80638;393;2026-02-28 19:30:47
2024;14290;Branca;Solteiro(a);60 a 64 anos;Masculino;Superior completo;ITAPIPOCA;JOAO RIBEIRO BARROSO;45;Engenheiro;PSDB;NORDESTE;Não Eleito;1;17;82276;25915;2026-02-28 19:30:47
2024;15881;Parda;Separado(a) judicialmente;55 a 59 anos;Masculino;Ensino Médio completo;CROATÁ;JOÃO DAMASCENO DE ABREU;30;Agricultor;NOVO;NORDESTE;Não Eleito;1;74;10951;1352;2026-02-28 19:30:47
2024;13331;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;AURORA;JOSE ADAILTON DE MACEDO;15;Agricultor;MDB;NORDESTE;Não Eleito;1;69;16685;7851;2026-02-28 19:30:47
2024;14931;Parda;Divorciado(a);50 a 54 anos;Masculino;Ensino Médio completo;PACAJUS;DAVANILSON JOSE PINHEIRO LEITE;10;Comerciante;REPUBLICANOS;NORDESTE;Não Eleito;1;49;44843;7140;2026-02-28 19:30:47
2024;13021;Parda;Casado(a);45 a 49 anos;Masculino;Superior incompleto;MADALENA;ANTONIO GILVAN INACIO DE SALES;10;Servidor Público Municipal;REPUBLICANOS;NORDESTE;Não Eleito;1;63;12415;4756;2026-02-28 19:30:47
2024;15938;Parda;Casado(a);30 a 34 anos;Masculino;Superior completo;ICAPUÍ;JOBEDE REIS CIRILO DA SILVA;45;Advogado;PSDB;NORDESTE;Não Eleito;1;8;15326;6489;2026-02-28 19:30:47
2024;13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;NORDESTE;Não Eleito;1;114;83366;656;2026-02-28 19:30:47
2024;13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;NORDESTE;Não Eleito;1;117;84214;507;2026-02-28 19:30:47
2024;13285;Parda;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio completo;PINDORETAMA;JOSE MARIA MENDES LEITE;40;Policial Militar;PSB;NORDESTE;Eleito;1;7;17061;12784;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;WAGNER SOUSA GOMES;44;Policial Militar;UNIÃO;NORDESTE;Não Eleito;1;95;80638;8186;2026-02-28 19:30:47
2024;15792;Branca;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;URUOCA;RUBENS BÉSSIO PESSOA ALMEIDA;11;Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;PP;NORDESTE;Não Eleito;1;25;9329;1397;2026-02-28 19:30:47
2024;14494;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;JUCÁS;JOSE EDSONRIVA SOUZA CUNHA;40;Empresário;PSB;NORDESTE;Eleito;1;43;16461;9778;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Segundo turno;1;112;88807;38041;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;NORDESTE;Segundo turno;1;82;79979;28350;2026-02-28 19:30:47
2024;13501;Branca;Solteiro(a);40 a 44 anos;Feminino;Superior completo;FORTIM;DELMA DA COSTA DOS SANTOS;15;Advogado;MDB;NORDESTE;Eleito;1;8;15376;10255;2026-02-28 19:30:47
2024;15237;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;PORTEIRAS;RAIMUNDO CICERO DA SILVA;13;Agricultor;PT;NORDESTE;Não Eleito;1;70;12032;4967;2026-02-28 19:30:47
2024;13005;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;JIJOCA DE JERICOACOARA;FRANCISCO EVERARDO GOMES;44;Vereador;UNIÃO;NORDESTE;Não Eleito;1;30;17991;1433;2026-02-28 19:30:47
2024;13897;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;GEORGE LIMA DE ARAÚJO;77;Empresário;SOLIDARIEDADE;NORDESTE;Não Eleito;1;93;70741;364;2026-02-28 19:30:47
2024;14150;Branca;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;IPAUMIRIM;WILSON ALVES DE FREITAS;55;Empresário;PSD;NORDESTE;Eleito;1;92;7916;6117;2026-02-28 19:30:47
2024;14613;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MASSAPÊ;OZIRES ANDRADE PONTES;45;Empresário;PSDB;NORDESTE;Eleito;1;45;27550;13718;2026-02-28 19:30:47
