Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
14710;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;MOMBAÇA;ECILDO EVANGELISTA FILHO;15;Prefeito;PMDB;NORDESTE;Eleito;24862;13304;2026-01-19 14:01:28
13480;Branca;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ITAITINGA;ABEL CERCELINO RANGEL JUNIOR;15;Servidor Público Estadual;PMDB;NORDESTE;Eleito;17332;8585;2026-01-19 14:01:28
13692;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;CASCAVEL;TIAGO LUTIANI OLIVEIRA RIBEIRO;23;Advogado;PPS;NORDESTE;Eleito;39608;16558;2026-01-19 14:01:28
14370;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;JAGUARIBARA;JOACY ALVES DOS SANTOS JUNIOR;45;Advogado;PSDB;NORDESTE;Eleito;3841;3356;2026-01-19 14:01:28
15733;Parda;Solteiro(a);30 a 34 anos;Masculino;Superior completo;UBAJARA;RENE DE ALMEIDA VASCONCELOS;12;Advogado;PDT;NORDESTE;Eleito;18854;10082;2026-01-19 14:01:28
14591;Branca;Divorciado(a);45 a 49 anos;Masculino;Superior completo;MARTINÓPOLE;FRANCISCO FONTENELE JUNIOR;55;Odontólogo;PSD;NORDESTE;Eleito;8311;4525;2026-01-19 14:01:28
13102;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;QUITERIANÓPOLIS;JOSÉ BARRETO COUTO NETO;77;Médico;SD;NORDESTE;Eleito;7029;6749;2026-01-19 14:01:28
15954;Branca;Casado(a);70 a 74 anos;Masculino;Lê e escreve;ITAREMA;BENEDITO MONTEIRO DOS SANTOS FILHO;55;Empresário;PSD;NORDESTE;Não Eleito;24730;5023;2026-01-19 14:01:28
14656;Parda;Viúvo(a);65 a 69 anos;Feminino;Superior completo;MERUOCA;MARIA DA CONCEIÇÃO CAVALCANTE DE ALCANTARA;13;Vereador;PT;NORDESTE;Não Eleito;9005;2685;2026-01-19 14:01:28
15415;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;SANTANA DO ACARAÚ;FRANCISCA EDLUCIA ARAUJO ARCANJO;65;Enfermeiro;PC do B;NORDESTE;Não Eleito;20714;8870;2026-01-19 14:01:28
13471;Branca;Solteiro(a);35 a 39 anos;Feminino;Superior completo;BOA VIAGEM;ALINE CAVALCANTE VIEIRA;22;Agrônomo;PR;NORDESTE;Eleito;30780;19397;2026-01-19 14:01:28
13307;Branca;Casado(a);50 a 54 anos;Feminino;Ensino Médio completo;OCARA;AMALIA LOPES DE SOUSA;11;Empresário;PP;NORDESTE;Eleito;19753;10231;2026-01-19 14:01:28
14311;Preta;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;ITAPIÚNA;WAUSTON LUIS CAVALCANTE DE FREITAS;12;Empresário;PDT;NORDESTE;Não Eleito;12789;5905;2026-01-19 14:01:28
13161;Branca;Casado(a);55 a 59 anos;Feminino;Superior incompleto;CHOROZINHO;ARGENTINA SAMPAIO PADILHA;15;Prefeito;PMDB;NORDESTE;Não Eleito;14603;6615;2026-01-19 14:01:28
14850;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;NOVA OLINDA;AFONSO DOMINGOS SAMPAIO;55;Empresário;PSD;NORDESTE;Eleito;9648;5881;2026-01-19 14:01:28
13285;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio incompleto;PINDORETAMA;ROBERTO MILLER COSTA DA ROCHA;55;Policial Militar;PSD;NORDESTE;Não Eleito;14393;6325;2026-01-19 14:01:28
14532;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;LIMOEIRO DO NORTE;HELIO HERBSTER OLIVEIRA BASTOS;65;Professor de Ensino Médio;PC do B;NORDESTE;Não Eleito;34671;662;2026-01-19 14:01:28
15318;Parda;Divorciado(a);60 a 64 anos;Masculino;Superior completo;QUIXERÉ;FRANCISCO RAIMUNDO SANTIAGO BESSA;12;Empresário;PDT;NORDESTE;Eleito;8209;7392;2026-01-19 14:01:28
14397;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;JAGUARIBE;JOSÉ ABNER NOGUEIRA DIÓGENES PINHEIRO;12;Administrador;PDT;NORDESTE;Eleito;11511;11511;2026-01-19 14:01:28
14931;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;PACAJUS;PAULO HENRIQUE DE CASTRO PONTES;40;Vereador;PSB;NORDESTE;Não Eleito;39829;9592;2026-01-19 14:01:28
13919;Branca;Divorciado(a);40 a 44 anos;Masculino;Superior completo;FRECHEIRINHA;HELTON LUIS AGUIAR JUNIOR;12;Empresário;PDT;NORDESTE;Não Eleito;9732;4803;2026-01-19 14:01:28
14834;Parda;Casado(a);45 a 49 anos;Feminino;Superior completo;MULUNGU;FRANCISCA VERÔNICA SAMPAIO DE SOUZA;25;Professor de Ensino Fundamental;DEM;NORDESTE;Não Eleito;6795;3089;2026-01-19 14:01:28
98558;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;UMIRIM;FRANCISCO JOSE SOUSA;14;Motorista de Veículos de Transporte Coletivo de Passageiros;PTB;NORDESTE;Não Eleito;12444;6021;2026-01-19 14:01:28
14290;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;ITAPIPOCA;DAGMAURO SOUSA MOREIRA;13;Prefeito;PT;NORDESTE;Não Eleito;71282;27526;2026-01-19 14:01:28
13110;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;ALTANEIRA;FRANCISCO RICARDO CARNEIRO ARRAES;15;Comerciante;PMDB;NORDESTE;Não Eleito;4703;2158;2026-01-19 14:01:28
14591;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;MARTINÓPOLE;JAMES MARTINS PEREIRA BARROS;15;Prefeito;PMDB;NORDESTE;Não Eleito;8311;3638;2026-01-19 14:01:28
13013;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Fundamental completo;ABAIARA;FRANCISCO MAMEDE DE MORAIS;10;Comerciante;PRB;NORDESTE;Não Eleito;5643;2754;2026-01-19 14:01:28
14575;Preta;Casado(a);50 a 54 anos;Feminino;Superior completo;MARCO;ANTONIA GLAUCY OSTERNO RIOS;25;Vereador;DEM;NORDESTE;Não Eleito;18200;7450;2026-01-19 14:01:28
13536;Branca;Divorciado(a);50 a 54 anos;Masculino;Superior completo;CAMPOS SALES;FRANCISCO COSTA TORRES JUNIOR;25;Advogado;DEM;NORDESTE;Não Eleito;11422;371;2026-01-19 14:01:28
13897;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;FORTALEZA;HEITOR CORREIA FÉRRER;40;Deputado;PSB;NORDESTE;Não Eleito;1286510;90510;2026-01-19 14:01:28
