Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Situação totalização;Votos válidos;Votos nominais;Data de carga
14311;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;ITAPIÚNA;RAIMUNDO LOPES JUNIOR;40;Outros;PSB;Eleito;14002;7286;2026-02-28 19:30:47
15954;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;ITAREMA;FELIPE MONTEIRO ANDRADE ARAÚJO;10;Advogado;REPUBLICANOS;Não Eleito;28216;372;2026-02-28 19:30:47
13439;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;BEBERIBE;PAULO FELIPE SABOIA DINO;55;Advogado;PSD;Não Eleito;39441;15264;2026-02-28 19:30:47
14036;Branca;Divorciado(a);35 a 39 anos;Masculino;Superior completo;GUARAMIRANGA;JAIRO DE CARVALHO CASTELO BRANCO;65;Advogado;PC do B;Não Eleito;5880;286;2026-02-28 19:30:47
14311;Branca;Divorciado(a);45 a 49 anos;Masculino;Superior completo;ITAPIÚNA;FRANCISCO ARNALDO ARAUJO BATISTA;10;PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS;REPUBLICANOS;Não Eleito;14002;6408;2026-02-28 19:30:47
14052;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;HIDROLÂNDIA;JOZÉ IVAN ARAÚJO MORORÓ;13;Médico;PT;Não Eleito;13788;120;2026-02-28 19:30:47
14834;Parda;Casado(a);35 a 39 anos;Feminino;Superior completo;MULUNGU;LYZIANE CRISTINA MALTA BITAR FARIAS LIMA;15;Vereador;MDB;Não Eleito;8272;3148;2026-02-28 19:30:47
15857;Branca;Casado(a);50 a 54 anos;Masculino;Superior incompleto;MARACANAÚ;LUCINILDO DA FROTA BRITO;12;Deputado;PDT;Não Eleito;138441;15458;2026-02-28 19:30:47
15075;Branca;Solteiro(a);45 a 49 anos;Masculino;Lê e escreve;PARAMBU;ERASMO DE SOUSA LIMA;13;Agricultor;PT;Não Eleito;20189;1739;2026-02-28 19:30:47
15750;Parda;Divorciado(a);55 a 59 anos;Masculino;Ensino Fundamental incompleto;UMARI;VALDEIR PINHEIRO DE MOURA;13;Empresário;PT;Não Eleito;5544;1288;2026-02-28 19:30:47
13536;Branca;Casado(a);70 a 74 anos;Masculino;Ensino Médio completo;CAMPOS SALES;MOESIO LOIOLA DE MELO;40;Locutor e Comentarista de Rádio e Televisão e Radialista;PSB;Eleito;16463;8572;2026-02-28 19:30:47
13595;Branca;Casado(a);60 a 64 anos;Feminino;Ensino Médio completo;CARIDADE;MARIA SIMONE FERNANDES TAVARES;40;Prefeito;PSB;Eleito;14652;8540;2026-02-28 19:30:47
13773;Branca;Divorciado(a);40 a 44 anos;Masculino;Ensino Médio completo;CHAVAL;CARLOS EMÍLIO MAGALHÃES GOMES;40;Técnico em Edificações;PSB;Eleito;8887;5721;2026-02-28 19:30:47
13080;Preta;Casado(a);55 a 59 anos;Masculino;Ensino Médio incompleto;TURURU;PEDRO SANTANA DE ALMEIDA FILHO;13;Policial Militar;PT;Não Eleito;13375;4993;2026-02-28 19:30:47
14060;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;IBARETAMA;ANTÔNIO RODRIGUES MORAES NETO;44;Médico;UNIÃO;Não Eleito;11822;4467;2026-02-28 19:30:47
15636;Branca;Solteiro(a);25 a 29 anos;Feminino;Superior completo;TABULEIRO DO NORTE;RENATA THAIS DUARTE VASCONCELOS;11;Odontólogo;PP;Eleito;21089;11100;2026-02-28 19:30:47
14435;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;JARDIM;MARIA CLEA ANCILON PEREIRA DA LUZ NETA;12;Servidor Público Municipal;PDT;Não Eleito;17800;7474;2026-02-28 19:30:47
13510;Parda;Solteiro(a);40 a 44 anos;Masculino;Ensino Médio incompleto;CAMOCIM;MAURO FERREIRA DE SOUSA;33;Taxista;MOBILIZA;Não Eleito;40552;211;2026-02-28 19:30:47
15989;Não Informado;Solteiro(a);35 a 39 anos;Masculino;Superior completo;DEPUTADO IRAPUAN PINHEIRO;FRANCISCO GILDECARLOS PINHEIRO;40;Prefeito;PSB;Eleito;6411;3883;2026-02-28 19:30:47
13056;Branca;Solteiro(a);50 a 54 anos;Feminino;Superior completo;ACOPIARA;ANA PATRICIA DE LIMA BARBOSA;10;Médico;REPUBLICANOS;Não Eleito;32778;764;2026-02-28 19:30:47
13439;Branca;Casado(a);50 a 54 anos;Feminino;Superior completo;BEBERIBE;MICHELE CARIELLO DE SÁ QUEIROZ ROCHA;11;Prefeito;PP;Eleito;39441;24000;2026-02-28 19:30:47
14370;Parda;Solteiro(a);35 a 39 anos;Masculino;Superior completo;JAGUARIBARA;LUIZ MISAEL ALMEIDA SILVEIRA;12;Engenheiro;PDT;Não Eleito;7585;2699;2026-02-28 19:30:47
13242;Parda;Divorciado(a);40 a 44 anos;Feminino;Superior completo;GUAIÚBA;IZABELLA MARIA FERNANDES DA SILVA;40;Advogado;PSB;Eleito;17532;13860;2026-02-28 19:30:47
15911;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;FORQUILHA;GERLÁSIO MARTINS DE LOIOLA;13;Servidor Público Federal;PT;Não Eleito;17170;7739;2026-02-28 19:30:47
15873;Branca;Casado(a);35 a 39 anos;Masculino;Superior completo;AMONTADA;FLAVIO CESAR BRUNO TEIXEIRA FILHO;13;Prefeito;PT;Eleito;29961;19876;2026-02-28 19:30:47
14672;Branca;Solteiro(a);35 a 39 anos;Masculino;Superior completo;MILAGRES;ANDERSON EUGÊNIO DE OLIVEIRA;15;Advogado;MDB;Eleito;17869;9396;2026-02-28 19:30:47
15750;Parda;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;UMARI;ALEX SANDRO RUFINO FERREIRA;55;Prefeito;PSD;Eleito;5544;4256;2026-02-28 19:30:47
14036;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;GUARAMIRANGA;MARCOS ANTONIO CARACAS DE SOUZA;12;Advogado;PDT;Não Eleito;5880;2544;2026-02-28 19:30:47
13030;Branca;Divorciado(a);80 a 84 anos;Masculino;Superior completo;ACARAÚ;MANOEL DUCA DA SILVEIRA NETO;10;Empresário;REPUBLICANOS;Não Eleito;40535;13632;2026-02-28 19:30:47
13307;Parda;Solteiro(a);45 a 49 anos;Masculino;Ensino Médio incompleto;OCARA;GILBERTO LOPES DA SILVA;12;Empresário;PDT;Não Eleito;22746;107;2026-02-28 19:30:47
13072;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;AIUABA;JOSE MORAES FEITOSA;13;Professor de Ensino Superior;PT;Eleito;9443;5175;2026-02-28 19:30:47
13064;Parda;Divorciado(a);60 a 64 anos;Feminino;Ensino Médio completo;GRAÇA;MARIA IRALDICE DE ALCANTARA;11;Prefeito;PP;Eleito;11160;5820;2026-02-28 19:30:47
13650;Parda;Solteiro(a);40 a 44 anos;Feminino;Ensino Médio completo;CARIÚS;NATALIA FERREIRA GOMES;15;Dona de Casa;MDB;Não Eleito;13490;6019;2026-02-28 19:30:47
15695;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;TIANGUÁ;JOSÉ JAYDSON SARAIVA DE AGUIAR;12;Médico;PDT;Não Eleito;46812;15081;2026-02-28 19:30:47
13498;Branca;Viúvo(a);60 a 64 anos;Feminino;Superior incompleto;BREJO SANTO;MARIA GISLAINE SANTANA SAMPAIO LANDIM;40;Prefeito;PSB;Eleito;28059;18324;2026-02-28 19:30:47
14478;Parda;Casado(a);65 a 69 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;LINO ALVES DE ALMEIDA;29;Aposentado (Exceto Servidor Público);PCO;Não Eleito;156753;0;2026-02-28 19:30:47
15318;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;QUIXERÉ;ANTONIO JOAQUIM GONÇALVES DE OLIVEIRA;13;Prefeito;PT;Eleito;15590;9996;2026-02-28 19:30:47
13650;Branca;Casado(a);55 a 59 anos;Masculino;Lê e escreve;CARIÚS;ANTÔNIO WILAMAR PALACIO DE OLIVEIRA;13;Prefeito;PT;Eleito;13490;7433;2026-02-28 19:30:47
15210;Branca;Solteiro(a);35 a 39 anos;Masculino;Ensino Médio completo;PORANGA;ANTONIO ROBERTO UCHOA DE ALMEIDA;13;Empresário;PT;Eleito;7979;4227;2026-02-28 19:30:47
15717;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;TRAIRI;CARLOS GUSTAVO MONTEIRO MOREIRA;11;Empresário;PP;Eleito;40582;29927;2026-02-28 19:30:47
13331;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;AURORA;MARCONE TAVARES DE LUNA;13;Empresário;PT;Eleito;16685;8834;2026-02-28 19:30:47
15679;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;TAUÁ;EDYR LINCON CAVALCANTE DIAS;15;Médico;MDB;Não Eleito;37542;10457;2026-02-28 19:30:47
15679;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;TAUÁ;PATRÍCIA PEQUENO COSTA GOMES DE AGUIAR;55;Advogado;PSD;Eleito;37542;26291;2026-02-28 19:30:47
13811;Branca;Divorciado(a);65 a 69 anos;Masculino;Ensino Médio completo;COREAÚ;PAULO MOREIRA DE CARVALHO;15;Empresário;MDB;Não Eleito;16238;133;2026-02-28 19:30:47
14613;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MASSAPÊ;OZIRES ANDRADE PONTES;45;Empresário;PSDB;Eleito;27550;13718;2026-02-28 19:30:47
14958;Parda;Casado(a);25 a 29 anos;Feminino;Superior incompleto;PACATUBA;LARISSA SOUZA TORRES CAMURÇA;44;Auxiliar de Escritório e Assemelhados;UNIÃO;Eleito;47973;26322;2026-02-28 19:30:47
14877;Branca;Casado(a);35 a 39 anos;Feminino;Superior completo;NOVA RUSSAS;GIORDANNA SILVA BRAGA MANO;25;Prefeito;PRD;Eleito;20037;16736;2026-02-28 19:30:47
14974;Branca;Casado(a);25 a 29 anos;Masculino;Superior incompleto;PACOTI;DAVI SILVEIRA NEPOMUCENO;45;Estudante, Bolsista, Estagiário e Assemelhados;PSDB;Não Eleito;9310;131;2026-02-28 19:30:47
14850;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;NOVA OLINDA;DIÓGENA HERMÓGENES LANDIM SAMPAIO;11;Farmacêutico;PP;Não Eleito;10490;4393;2026-02-28 19:30:47
14117;Branca;Casado(a);30 a 34 anos;Masculino;Superior completo;IGUATU;JOSE ILO ALVES DANTAS NETO;13;Engenheiro;PT;Não Eleito;58796;27046;2026-02-28 19:30:47
98531;Branca;Casado(a);65 a 69 anos;Feminino;Superior completo;QUIXELÔ;MARIA DE FÁTIMA ARAUJO;13;Professor de Ensino Fundamental;PT;Não Eleito;12811;3260;2026-02-28 19:30:47
14834;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;MULUNGU;LUCAS ARRUDA MARTINS;40;Empresário;PSB;Eleito;8272;5124;2026-02-28 19:30:47
14079;Parda;Casado(a);60 a 64 anos;Masculino;Superior completo;IBIAPINA;MARCOS ANTONIO DA SILVA LIMA;40;Prefeito;PSB;Eleito;15874;9299;2026-02-28 19:30:47
15393;Parda;Casado(a);55 a 59 anos;Masculino;Superior completo;SABOEIRO;ANTONIO FRANCISCO DE LIMA;15;Empresário;MDB;Eleito;10922;5988;2026-02-28 19:30:47
98558;Amarela;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;UMIRIM;FRANCISCO JOSE SOUSA;15;Servidor Público Municipal;MDB;Não Eleito;13673;5549;2026-02-28 19:30:47
14117;Branca;Casado(a);65 a 69 anos;Masculino;Ensino Médio completo;IGUATU;CARLOS AUGUSTO CORREIA LIMA;33;Outros;MOBILIZA;Não Eleito;58796;0;2026-02-28 19:30:47
14192;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;IPUEIRAS;REVSON MOURAO MORAIS;11;Servidor Público Estadual;PP;Não Eleito;24326;1148;2026-02-28 19:30:47
14354;Parda;Casado(a);65 a 69 anos;Masculino;Superior incompleto;JAGUARETAMA;FRANCIJAIME PINHEIRO COSTA;10;Tabelião;REPUBLICANOS;Não Eleito;9192;0;2026-02-28 19:30:47
14117;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;IGUATU;CARLOS ROBERTO COSTA FILHO;45;Advogado;PSDB;Eleito;58796;29069;2026-02-28 19:30:47
14192;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;IPUEIRAS;FRANCISCO SOUTO DE VASCONCELOS JÚNIOR;10;Prefeito;REPUBLICANOS;Eleito;24326;15017;2026-02-28 19:30:47
13315;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;ASSARÉ;ERIGILSON BEZERRA LIMA;15;Empresário;MDB;Não Eleito;14746;2457;2026-02-28 19:30:47
14214;Branca;Casado(a);70 a 74 anos;Masculino;Superior completo;IRACEMA;JOSÉ JUAREZ DIÓGENES TAVARES;40;Administrador;PSB;Não Eleito;10362;5031;2026-02-28 19:30:47
14192;Parda;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;IPUEIRAS;RAIMUNDO MELO SAMPAIO;40;Empresário;PSB;Não Eleito;24326;8161;2026-02-28 19:30:47
15571;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;SENADOR SÁ;JOSE MARTINS BARROS JUNIOR;11;Prefeito;PP;Não Eleito;1875;0;2026-02-28 19:30:47
13498;Parda;Divorciado(a);55 a 59 anos;Masculino;Superior completo;BREJO SANTO;EUSEBIO FERREIRA DA SILVA;13;Empresário;PT;Não Eleito;28059;9735;2026-02-28 19:30:47
15954;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Médio completo;ITAREMA;ALISANDRE MIRANDA COELHO;55;Empresário;PSD;Não Eleito;28216;8333;2026-02-28 19:30:47
15431;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior incompleto;SANTANA DO CARIRI;JOÃO PAULO CABRAL ALVES;18;Outros;REDE;Não Eleito;11581;1176;2026-02-28 19:30:47
14338;Parda;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental completo;ITATIRA;JOSE ICASSI GONÇALVES UMBELINO;20;Empresário;PODE;Não Eleito;14692;2795;2026-02-28 19:30:47
13099;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;ALCÂNTARAS;CHARLYNE CUNHA FREIRE;40;Agente Administrativo;PSB;Eleito;8255;5434;2026-02-28 19:30:47
13021;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MADALENA;CRISPIANO BARROS UCHOA;15;Professor de Ensino Fundamental;MDB;Eleito;12415;7659;2026-02-28 19:30:47
13463;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;CHORÓ;ANTÔNIO FRANCISCO DELMIRO;13;Vereador;PT;Não Eleito;9772;3801;2026-02-28 19:30:47
15350;Branca;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;RERIUTABA;PEDRO HUMBERTO COELHO MARQUES;40;Prefeito;PSB;Eleito;13482;8477;2026-02-28 19:30:47
13110;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;ALTANEIRA;ANA KESIA DE ALCANTARA SOARES;40;Empresário;PSB;Eleito;6163;3255;2026-02-28 19:30:47
15776;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;URUBURETAMA;FRANCISCO ALDIR CHAVES DA SILVA;13;Prefeito;PT;Eleito;15599;11685;2026-02-28 19:30:47
13129;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;BARREIRA;ANTONIO ALAILSON OLIVEIRA SALDANHA;13;Empresário;PT;Não Eleito;16805;1065;2026-02-28 19:30:47
13854;Branca;Casado(a);55 a 59 anos;Masculino;Superior completo;CRATO;ANDRÉ BARRETO ESMERALDO;13;Farmacêutico;PT;Eleito;76107;37092;2026-02-28 19:30:47
15440;Preta;Casado(a);40 a 44 anos;Feminino;Superior completo;SALITRE;ELIANE BATISTA PEREIRA;15;Professor de Ensino Fundamental;MDB;Não Eleito;12623;83;2026-02-28 19:30:47
13226;Branca;Divorciado(a);60 a 64 anos;Masculino;Superior completo;EUSÉBIO;MAURO HENRIQUE NASCIMENTO RAMALHO;44;Médico;UNIÃO;Não Eleito;44781;8525;2026-02-28 19:30:47
14273;Parda;Casado(a);65 a 69 anos;Feminino;Superior completo;ITAPAJÉ;MARIA GORETE BARROSO MAGALHAES CAETANO;40;Médico;PSB;Não Eleito;32835;14137;2026-02-28 19:30:47
13161;Branca;Solteiro(a);65 a 69 anos;Feminino;Superior completo;CHOROZINHO;CÉLIA MARINHO ALBANO;10;Vereador;REPUBLICANOS;Eleito;15788;10423;2026-02-28 19:30:47
15652;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;TAMBORIL;FRANCISCO FELIX MELO FARIAS;12;Enfermeiro;PDT;Não Eleito;17308;7005;2026-02-28 19:30:47
15296;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;QUIXERAMOBIM;ANTÔNIO EUGÊNIO GOMES DE ALMEIDA;12;Vereador;PDT;Não Eleito;48430;11417;2026-02-28 19:30:47
13390;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;BARRO;PAULO VINICIUS LAURINDO DA SILVA;55;Empresário;PSD;Não Eleito;12835;4576;2026-02-28 19:30:47
15512;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;SÃO JOÃO DO JAGUARIBE;RAIMUNDO CESAR MORAIS MAIA;55;Prefeito;PSD;Eleito;4528;4528;2026-02-28 19:30:47
13552;Parda;Solteiro(a);25 a 29 anos;Masculino;Superior completo;CANINDÉ;FRANCISCO JARDEL SOUSA PINHO;40;Vereador;PSB;Eleito;48519;27388;2026-02-28 19:30:47
15377;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;RUSSAS;SÁVIO GURGEL NOGUEIRA;40;Prefeito;PSB;Eleito;42562;39856;2026-02-28 19:30:47
98558;Parda;Casado(a);45 a 49 anos;Masculino;Superior completo;UMIRIM;JUDISON HENRIQUE LOPES ARAÚJO;40;Militar Reformado;PSB;Eleito;13673;8124;2026-02-28 19:30:47
15695;Branca;Casado(a);65 a 69 anos;Masculino;Ensino Médio incompleto;TIANGUÁ;JOSE CARDOSO TERCEIRO;33;Aposentado (Exceto Servidor Público);MOBILIZA;Não Eleito;46812;605;2026-02-28 19:30:47
13951;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;GRANJA;DANIEL FÉLIX DE BRITO;22;Professor de Ensino Fundamental;PL;Não Eleito;33805;304;2026-02-28 19:30:47
14710;Parda;Casado(a);35 a 39 anos;Masculino;Superior incompleto;MOMBAÇA;ORLANDO BENEVIDES CAVALCANTE FILHO;10;Prefeito;REPUBLICANOS;Eleito;25935;13804;2026-02-28 19:30:47
14915;Branca;Casado(a);45 a 49 anos;Feminino;Superior completo;ORÓS;LUHANNA URYA MACIEL BEZERRA;11;Advogado;PP;Não Eleito;14188;5901;2026-02-28 19:30:47
13080;Parda;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio completo;TURURU;FRANCISCO REGIS SERPA BARROSO;45;Outros;PSDB;Não Eleito;13375;32;2026-02-28 19:30:47
15270;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;QUIXADÁ;VICTOR XIMENES MARQUES;13;Professor de Ensino Superior;PT;Não Eleito;49282;15161;2026-02-28 19:30:47
14478;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;JUAZEIRO DO NORTE;FERNANDO MATOS SANTANA;13;Deputado;PT;Não Eleito;156753;70936;2026-02-28 19:30:47
14036;Parda;Casado(a);40 a 44 anos;Feminino;Superior completo;GUARAMIRANGA;YNARA FURTADO VASCONCELOS MOTA;10;Empresário;REPUBLICANOS;Eleito;5880;3045;2026-02-28 19:30:47
15440;Parda;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;SALITRE;DORGIVAL PEREIRA FILHO;40;Agricultor;PSB;Não Eleito;12623;6182;2026-02-28 19:30:47
13307;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;OCARA;HUMBERTO MAIA DE QUEIROZ JÚNIOR;11;Advogado;PP;Não Eleito;22746;10258;2026-02-28 19:30:47
15652;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;TAMBORIL;LUIZ MARCELO MOTA LEITE;40;Prefeito;PSB;Eleito;17308;10303;2026-02-28 19:30:47
15970;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;MILHÃ;LUIZ ALAN PINHEIRO MACEDO;40;Administrador;PSB;Eleito;9503;6469;2026-02-28 19:30:47
14052;Branca;Solteiro(a);30 a 34 anos;Masculino;Superior completo;HIDROLÂNDIA;LUAN PEREIRA XAVIER GOMES;40;Enfermeiro;PSB;Eleito;13788;7037;2026-02-28 19:30:47
14656;Branca;Casado(a);45 a 49 anos;Masculino;Superior completo;MERUOCA;JOSE HERTON ALVES DE SOUSA;13;Prefeito;PT;Eleito;11368;7017;2026-02-28 19:30:47
14699;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;MISSÃO VELHA;DIEGO GONDIM FEITOSA;15;Advogado;MDB;Não Eleito;24703;10983;2026-02-28 19:30:47
98574;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;VARJOTA;SEBASTIÃO SILVINO DE OLIVEIRA;15;Administrador;MDB;Não Eleito;13869;4955;2026-02-28 19:30:47
14630;Parda;Solteiro(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;MAURITI;FRANCISCO WELINGTON PATRÍCIO DE FIGUEIRÊDO;12;Empresário;PDT;Não Eleito;28644;8051;2026-02-28 19:30:47
13897;Preta;Separado(a) judicialmente;35 a 39 anos;Masculino;Ensino Médio completo;FORTALEZA;TECIO NUNES SALGADO;50;Outros;PSOL;Não Eleito;1397526;8923;2026-02-28 19:30:47
15938;Parda;Casado(a);40 a 44 anos;Masculino;Superior incompleto;ICAPUÍ;FRANCISCO KLEITON PEREIRA;55;Vereador;PSD;Eleito;15326;8837;2026-02-28 19:30:47
13897;Parda;Casado(a);50 a 54 anos;Masculino;Superior incompleto;FORTALEZA;LUIS EDUARDO GRANGEIRO GIRÃO;30;Senador;NOVO;Não Eleito;1397526;14878;2026-02-28 19:30:47
13048;Branca;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;PIRES FERREIRA;FRANCISCO EDUARDO SAMPAIO XIMENES;11;Vereador;PP;Não Eleito;7527;40;2026-02-28 19:30:47
13382;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;BANABUIÚ;FRANCISCO MARCÍLIO COELHO BRITO;40;Servidor Público Municipal;PSB;Eleito;13550;7583;2026-02-28 19:30:47
14818;Parda;Solteiro(a);55 a 59 anos;Masculino;Ensino Médio completo;MUCAMBO;ELENILSON JOSE DA CONCEIÇÃO;40;Comerciante;PSB;Eleito;6947;6947;2026-02-28 19:30:47
13137;Branca;Casado(a);50 a 54 anos;Masculino;Superior completo;ALTO SANTO;FERNANDO ANTONIO BEZERRA FREIRE;55;Advogado;PSD;Não Eleito;10476;1374;2026-02-28 19:30:47
13200;Parda;Casado(a);50 a 54 anos;Masculino;Superior completo;ERERÉ;GLAUBER LOPES DE HOLANDA;13;Enfermeiro;PT;Eleito;4847;2438;2026-02-28 19:30:47
15431;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;SANTANA DO CARIRI;SAMUEL CIDADE WERTON;13;Prefeito;PT;Eleito;11581;5856;2026-02-28 19:30:47
13242;Preta;Casado(a);55 a 59 anos;Masculino;Ensino Fundamental incompleto;GUAIÚBA;JOSÉ GERARDO RODRIGUES;15;Empresário;MDB;Não Eleito;17532;247;2026-02-28 19:30:47
13595;Parda;Solteiro(a);40 a 44 anos;Masculino;Superior completo;CARIDADE;JOSÉ RENATO BARROS TIMBÓ;13;Advogado;PT;Não Eleito;14652;6112;2026-02-28 19:30:47
13056;Branca;Casado(a);65 a 69 anos;Masculino;Superior completo;ACOPIARA;FRANCISCO VILMAR FELIX MARTINS;40;Médico;PSB;Eleito;32778;18009;2026-02-28 19:30:47
14737;Parda;Casado(a);40 a 44 anos;Masculino;Superior completo;MONSENHOR TABOSA;FRANCISCO SALOMÃO DE ARAÚJO SOUSA;13;Advogado;PT;Eleito;12197;7215;2026-02-28 19:30:47
15199;Branca;Solteiro(a);40 a 44 anos;Masculino;Superior completo;PIQUET CARNEIRO;ISMAEL EDILTHON MARTINS NASCIMENTO;11;Médico;PP;Não Eleito;10626;4601;2026-02-28 19:30:47
14532;Branca;Casado(a);40 a 44 anos;Feminino;Superior completo;LIMOEIRO DO NORTE;MARIA JOSÉ MAIA;55;Advogado;PSD;Não Eleito;36455;8147;2026-02-28 19:30:47
13870;Branca;Casado(a);60 a 64 anos;Masculino;Ensino Médio completo;FARIAS BRITO;FRANCISCO AUSTRAGÉZIO SALES;12;Empresário;PDT;Eleito;15497;8486;2026-02-28 19:30:47
15881;Parda;Casado(a);40 a 44 anos;Masculino;Ensino Fundamental completo;CROATÁ;RONILSON FRANCISCO DE OLIVEIRA;13;Empresário;PT;Eleito;10951;9599;2026-02-28 19:30:47
13897;Branca;Casado(a);25 a 29 anos;Masculino;Superior completo;FORTALEZA;ANDRE FERNANDES DE MOURA;22;Deputado;PL;Não Eleito;1421428;705295;2026-02-28 19:30:47
15610;Não Informado;Solteiro(a);40 a 44 anos;Masculino;Ensino Fundamental completo;SOLONÓPOLE;THIAGO NOGUEIRA PINHEIRO;11;Empresário;PP;Não Eleito;12648;5495;2026-02-28 19:30:47
13196;Branca;Divorciado(a);40 a 44 anos;Masculino;Superior completo;AQUIRAZ;BRUNO BARROS GONÇALVES;25;Prefeito;PRD;Eleito;56085;48113;2026-02-28 19:30:47
13480;Branca;Divorciado(a);40 a 44 anos;Masculino;Ensino Médio completo;ITAITINGA;ANTONIO MARCOS TAVARES;25;Empresário;PRD;Eleito;30384;19603;2026-02-28 19:30:47
13579;Branca;Casado(a);60 a 64 anos;Masculino;Superior completo;CAPISTRANO;CLAUDIO BEZERRA SARAIVA;40;Produtor Agropecuário;PSB;Eleito;13802;6769;2026-02-28 19:30:47
15296;Branca;Casado(a);40 a 44 anos;Masculino;Superior completo;QUIXERAMOBIM;PAULO JOSE GOMES FERREIRA;13;Técnico em Agronomia e Agrimensura;PT;Não Eleito;48430;6656;2026-02-28 19:30:47
14230;Parda;Casado(a);35 a 39 anos;Masculino;Superior completo;IRAUÇUBA;ROBERTO BADGER LOPES DE SOUZA FILHO;13;Contador;PT;Não Eleito;16055;5180;2026-02-28 19:30:47
15857;Branca;Casado(a);55 a 59 anos;Feminino;Superior completo;MARACANAÚ;SILVANA OLIVEIRA DE SOUSA;22;Médico;PL;Não Eleito;138441;34279;2026-02-28 19:30:47
15253;Parda;Separado(a) judicialmente;30 a 34 anos;Masculino;Superior completo;POTENGI;LUA ALENCAR ALVES SOARES;13;Advogado;PT;Não Eleito;6847;2601;2026-02-28 19:30:47
15474;Branca;Solteiro(a);50 a 54 anos;Masculino;Superior completo;SÃO BENEDITO;MICHELL DO AMARAL ALMEIDA;15;Médico;MDB;Não Eleito;26608;1681;2026-02-28 19:30:47
13501;Parda;Solteiro(a);45 a 49 anos;Masculino;Superior completo;FORTIM;MARCOS CAVALCANTE DE SOUZA;40;Vereador;PSB;Não Eleito;15376;5121;2026-02-28 19:30:47
14257;Parda;Divorciado(a);60 a 64 anos;Masculino;Superior completo;ITAIÇABA;FRANK GOMES FREITAS;40;Prefeito;PSB;Não Eleito;4018;0;2026-02-28 19:30:47
15890;Não Informado;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental incompleto;CRUZ;ODAIR JOSÉ MENDES DE VASCONCELOS;15;Outros;MDB;Não Eleito;19089;1581;2026-02-28 19:30:47
