Código município;Cor/raça;Estado civil;Faixa etária;Gênero;Grau de instrução;Município;Nome candidato;Número candidato;Ocupação;Partido;Região;Situação totalização;Votos válidos;Votos nominais;Data de carga
13064;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;GRAÇA;FRANCISCO MARCIO PEREIRA DA SILVA;13;Enfermeiro;PT;NORDESTE;Não Eleito;8036;0;2021-07-26 16:58:35
13340;#NE#;Casado(a);45 a 49 anos;Feminino;Ensino Médio completo;IPAPORANGA;YBSEN KEITH CATUNDA DE LIMA MOREIRA;15;Empresário;PMDB;NORDESTE;Não Eleito;6919;2890;2021-07-26 16:58:35
15733;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Fundamental completo;UBAJARA;MARCOS AURÉLIO HOLANDA CAVALCANTE;10;Comerciante;PRB;NORDESTE;Não Eleito;18433;6856;2021-07-26 16:58:35
14117;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Fundamental completo;IGUATU;ADERILO ANTUNES ALCANTARA FILHO;10;Agricultor;PRB;NORDESTE;Eleito;51311;30203;2021-07-26 16:58:35
13951;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;GRANJA;ROMEU ALDIGUERI DE ARRUDA COELHO;22;Advogado;PR;NORDESTE;Eleito;18011;17836;2021-07-26 16:58:35
15172;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;PEREIRO;JOÃO FRANCISMAR DIAS;55;Motorista de Veículos de Transporte Coletivo de Passageiros;PSD;NORDESTE;Eleito;9854;4939;2021-07-26 16:58:35
13463;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio completo;CHORÓ;JOSÉ ANTONIO RODRIGUES MENDES;55;Prefeito;PSD;NORDESTE;Eleito;8967;4135;2021-07-26 16:58:35
14117;#NE#;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;IGUATU;FRANCISCO MURILO ANDRADE BRAGA;23;Empresário;PPS;NORDESTE;Não Eleito;51311;1056;2021-07-26 16:58:35
14273;#NE#;Solteiro(a);25 a 29 anos;Masculino;Superior completo;ITAPAGÉ;FRANCISCO CID LIRA BRAGA;12;Agente Administrativo;PDT;NORDESTE;Não Eleito;30422;1055;2021-07-26 16:58:35
13897;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;MARCOS CESAR CALS DE OLIVEIRA;45;Sociólogo;PSDB;NORDESTE;Não Eleito;100874;2545;2021-07-26 16:58:35
14010;#NE#;Divorciado(a);65 a 69 anos;Masculino;Ensino Fundamental incompleto;GUARACIABA DO NORTE;FRANCISCO CARVALHO SOARES;11;Empresário;PP;NORDESTE;Não Eleito;21750;4581;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;FORTALEZA;INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA;65;Senador;PC do B;NORDESTE;Não Eleito;102307;1765;2021-07-26 16:58:35
13897;#NE#;Casado(a);50 a 54 anos;Masculino;Superior completo;FORTALEZA;ANTONIO VALDECI CUNHA;28;Professor de Ensino Superior;PRTB;NORDESTE;Não Eleito;88916;0;2021-07-26 16:58:35
13358;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;BAIXIO;ARMANDO QUARESMA TRIGUEIRO;20;Servidor Público Municipal;PSC;NORDESTE;Não Eleito;2329;0;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;ELMANO DE FREITAS DA COSTA;13;Advogado;PT;NORDESTE;Segundo turno;113142;28373;2021-07-26 16:58:35
14974;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;PACOTI;MARCOS VENICIOS NORJOSA GONZAGA;13;Médico;PT;NORDESTE;Não Eleito;8338;2012;2021-07-26 16:58:35
14354;#NE#;Casado(a);40 a 44 anos;Feminino;Superior completo;JAGUARETAMA;ILA MARIA PINHEIRO NOGUEIRA SARAIVA;55;Comerciante;PSD;NORDESTE;Eleito;12436;6748;2021-07-26 16:58:35
13951;#NE#;Solteiro(a);35 a 39 anos;Masculino;Superior completo;GRANJA;LUIS GUSTAVO OLIVEIRA COSTA;31;Bancário e Economiário;PHS;NORDESTE;Não Eleito;18011;175;2021-07-26 16:58:35
13897;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;FORTALEZA;MARCOS CESAR CALS DE OLIVEIRA;45;Sociólogo;PSDB;NORDESTE;Não Eleito;88916;1964;2021-07-26 16:58:35
13978;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;GRANJEIRO;RAIMUNDO DUCLIEUX DE FREITAS;10;Médico;PRB;NORDESTE;Eleito;4117;2312;2021-07-26 16:58:35
13412;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;BATURITÉ;JOÃO BOSCO PINTO SARAIVA;40;Comerciante;PSB;NORDESTE;Eleito;21367;7744;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Ensino Médio completo;FORTALEZA;INÁCIO FRANCISCO DE ASSIS NUNES ARRUDA;65;Senador;PC do B;NORDESTE;Não Eleito;91241;1637;2021-07-26 16:58:35
13013;#NE#;Divorciado(a);45 a 49 anos;Masculino;Ensino Médio completo;ABAIARA;FRANCISCO JOAQUIM SAMPAIO;45;Prefeito;PSDB;NORDESTE;Eleito;5048;2718;2021-07-26 16:58:35
13897;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;FORTALEZA;ELMANO DE FREITAS DA COSTA;13;Advogado;PT;NORDESTE;Não Eleito;88082;44132;2021-07-26 16:58:35
13030;#NE#;Casado(a);35 a 39 anos;Masculino;Ensino Médio completo;ACARAÚ;ALEXANDRE FERREIRA GOMES DA SILVEIRA;15;Empresário;PMDB;NORDESTE;Eleito;31995;16117;2021-07-26 16:58:35
13102;#NE#;Casado(a);30 a 34 anos;Masculino;Superior completo;QUITERIANÓPOLIS;JOSE BARRETO COUTO NETO;55;Médico;PSD;NORDESTE;Eleito;11543;5831;2021-07-26 16:58:35
13552;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;CANINDÉ;FRANCISCO CELSO CRISOSTOMO SECUNDINO;13;Pedagogo;PT;NORDESTE;Eleito;23873;18293;2021-07-26 16:58:35
15920;#NE#;Casado(a);30 a 34 anos;Masculino;Superior completo;IBICUITINGA;JOSÉ CLAUDIO FALCÃO NOBRE;13;Administrador;PT;NORDESTE;Não Eleito;10513;1119;2021-07-26 16:58:35
15415;#NE#;Casado(a);40 a 44 anos;Masculino;Ensino Médio completo;SANTANA DO ACARAÚ;ROBERTO CARLOS FARIAS;55;Comerciário;PSD;NORDESTE;Não Eleito;11070;0;2021-07-26 16:58:35
15490;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;SÃO GONÇALO DO AMARANTE;FRANCISCO CLAUDIO PINTO PINHO;40;Tabelião;PSB;NORDESTE;Eleito;29255;12797;2021-07-26 16:58:35
15458;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;SANTA QUITÉRIA;TOMÁS ANTONIO ALBUQUERQUE DE PAULA PESSOA;45;Servidor Público Estadual;PSDB;NORDESTE;Não Eleito;26466;8956;2021-07-26 16:58:35
13161;#NE#;Casado(a);45 a 49 anos;Masculino;Superior incompleto;CHOROZINHO;FRANCISCO AIRTON LIMA FILHO;40;Comerciante;PSB;NORDESTE;Não Eleito;13435;6109;2021-07-26 16:58:35
14176;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;IPU;CARLOS SERGIO RUFINO MOREIRA;65;Administrador;PC do B;NORDESTE;Eleito;21991;11533;2021-07-26 16:58:35
14818;#NE#;Casado(a);35 a 39 anos;Masculino;Superior completo;MUCAMBO;CLAUDINO CASTRO CUSTODIO;13;Servidor Público Estadual;PT;NORDESTE;Não Eleito;9207;286;2021-07-26 16:58:35
14834;#NE#;Solteiro(a);30 a 34 anos;Masculino;Superior completo;MULUNGU;ROBERT VIANA LEITAO;15;Empresário;PMDB;NORDESTE;Não Eleito;5965;2349;2021-07-26 16:58:35
14079;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;IBIAPINA;MARCOS ANTÔNIO DA SILVA LIMA;14;Prefeito;PTB;NORDESTE;Não Eleito;12620;3818;2021-07-26 16:58:35
15032;#NE#;Casado(a);50 a 54 anos;Masculino;Ensino Médio completo;PALMÁCIA;ANTONIO CLAUDIO MOTA MARTINS;13;Empresário;PT;NORDESTE;Não Eleito;7163;3232;2021-07-26 16:58:35
15415;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;SANTANA DO ACARAÚ;MARCOS RODRIGUES CORDEIRO;45;Médico;PSDB;NORDESTE;Não Eleito;11070;412;2021-07-26 16:58:35
14680;#NE#;Casado(a);60 a 64 anos;Masculino;Ensino Fundamental completo;MIRAÍMA;ROBERTO IVENS UCHOA SALES;10;Empresário;PRB;NORDESTE;Eleito;9422;5034;2021-07-26 16:58:35
13919;#NE#;Casado(a);40 a 44 anos;Masculino;Superior completo;FRECHEIRINHA;CARLEONE JUNIOR DE ARAUJO;15;Contador;PMDB;NORDESTE;Eleito;8721;4879;2021-07-26 16:58:35
13277;#NE#;Casado(a);30 a 34 anos;Masculino;Ensino Fundamental completo;ARATUBA;JOSE IVAN SANTOS NETO;40;Agricultor;PSB;NORDESTE;Eleito;8475;4507;2021-07-26 16:58:35
13730;#NE#;Solteiro(a);40 a 44 anos;Masculino;Superior completo;CAUCAIA;ANTONIO UEDSON DA SILVA;54;Outros;PPL;NORDESTE;Não Eleito;78471;0;2021-07-26 16:58:35
14133;#NE#;Casado(a);45 a 49 anos;Masculino;Ensino Médio incompleto;INDEPENDÊNCIA;JOSE SILVESTRE VIEIRA;55;Empresário;PSD;NORDESTE;Não Eleito;8323;0;2021-07-26 16:58:35
13897;#NE#;Casado(a);55 a 59 anos;Masculino;Superior completo;FORTALEZA;MORONI BING TORGAN;25;Sacerdote ou Membro de Ordem ou Seita Religiosa;DEM;NORDESTE;Não Eleito;90029;13239;2021-07-26 16:58:35
15873;#NE#;Casado(a);60 a 64 anos;Masculino;Superior completo;AMONTADA;VALDIR HERBSTER FILHO;12;Advogado;PDT;NORDESTE;Não Eleito;24237;11633;2021-07-26 16:58:35
13730;#NE#;Casado(a);45 a 49 anos;Masculino;Superior completo;CAUCAIA;AMARILIO FRANCISCO MOURA DE MELO;28;Policial Militar;PRTB;NORDESTE;Não Eleito;75088;0;2021-07-26 16:58:35
